loc_id,loc_internal_id,loc_source_url,loc_active,loc_lat_game,loc_lng_game,loc_lat_key,loc_lng_key,loc_distance_key,loc_key_buffer,loc_image_url,geoid,loc_city,loc_state,loc_country
1,geo35407875,https://www.airbnb.com/rooms/35407875,1,39.198995,-77.724001,39.198929,-77.724146,14,40,https://a0.muscache.com/im/pictures/0096fc4e-a337-4e53-8cf2-069aafd5956d.jpg,,Purcellville,VA,US
2,geo21635878,https://www.airbnb.com/rooms/21635878,1,36.129976,-86.874011,36.130585,-86.874253,71,40,https://a0.muscache.com/im/pictures/019d83a3-c763-4401-a491-b1b7557fa23b.jpg,,Nashville,TN,US
3,geo28916363,https://www.airbnb.com/rooms/28916363,1,39.936959,-105.036028,39.936731,-105.036431,43,40,https://a0.muscache.com/im/pictures/198c9b32-edea-4b79-8855-6a3754ec7b8e.jpg,,Broomfield,CO,US
4,geo34464521,https://www.airbnb.com/rooms/34464521,1,39.003987,-77.785038,39.004344,-77.784176,84,40,https://a0.muscache.com/im/pictures/1a2c1324-6df7-4ee1-949a-7730fc1d029a.jpg,,Middleburg,VA,US
5,geo34310518,https://www.airbnb.com/rooms/34310518,1,32.616020,-117.006995,32.615764,-117.008045,102,40,https://a0.muscache.com/im/pictures/1c6e07e1-f0f7-4616-b5ab-28b463237540.jpg,,Chula Vista,CA,US
6,geo34309695,https://www.airbnb.com/rooms/34309695,1,40.512953,-111.416031,40.511854,-111.415457,131,40,https://a0.muscache.com/im/pictures/211ea57f-20af-40bc-9472-b353c5871778.jpg,,Heber City,UT,US
7,geo34660837,https://www.airbnb.com/rooms/34660837,1,37.395983,-122.026023,37.396974,-122.024731,159,40,https://a0.muscache.com/im/pictures/2191ad6b-bb65-4fc7-a16e-7e052f170c21.jpg,,Sunnyvale,CA,US
8,geo36063720,https://www.airbnb.com/rooms/36063720,1,35.480996,-120.711011,35.480589,-120.709744,123,40,https://a0.muscache.com/im/pictures/24d4538e-83c2-4518-877b-05abba150126.jpg,,Atascadero,CA,US
9,geo23211741,https://www.airbnb.com/rooms/23211741,1,22.223952,-159.479027,22.224300,-159.478240,90,40,https://a0.muscache.com/im/pictures/368ff296-447e-48f4-aee2-1ebe787feb9e.jpg,,Princeville,HI,US
10,geo35596979,https://www.airbnb.com/rooms/35596979,1,33.042004,-117.276966,33.041095,-117.277460,111,40,https://a0.muscache.com/im/pictures/36dbd854-0072-470b-b1a9-7b6ed9637685.jpg,,Encinitas,CA,US
11,geo11699032,https://www.airbnb.com/rooms/11699032,1,33.954038,-116.471995,33.954353,-116.471408,64,40,https://a0.muscache.com/im/pictures/4073cd1f-8e3c-4b9a-9146-02a17dfad9a5.jpg,,Desert Hot Springs,CA,US
